date,band,origin,saw-it,location,lat,lon,spotify,Music Style,Happiness index
15/11/2025,Saxon,United Kingdom,United Kingdom,Hammersmith Apollo,51.49090,-0.22450,416598,,
15/11/2025,Udo Dirkschneider,Germany,United Kingdom,Hammersmith Apollo,51.49090,-0.22450,14144,,
08/11/2025,Oryx,United States,United Kingdom,The Black Heart,51.53890,-0.14170,1711,,
08/11/2025,Poseidon,United Kingdom,United Kingdom,The Black Heart,51.53890,-0.14170,49,,
08/11/2025,Boa resa,United Kingdom,United Kingdom,The Black Heart,51.53890,-0.14170,23,,
07/11/2025,Perturbator,France,United Kingdom,O2 Forum Kentish Town,51.55220,-0.14220,772011,,
07/11/2025,Kælan Mikla,Iceland,United Kingdom,O2 Forum Kentish Town,51.55220,-0.14220,40819,,
07/11/2025,Gost,United States,United Kingdom,O2 Forum Kentish Town,51.55220,-0.14220,137188,,
17/10/2025,Paradise Lost,United Kingdom,United Kingdom,Islington Assembly Hall,51.54170,-0.10210,502963,,
17/10/2025,Messa,Italy,United Kingdom,Islington Assembly Hall,51.54170,-0.10210,45913,,
20/09/2025,Night In Athens,Greece,United Kingdom,Moth Club,51.54560,-0.04440,107282,,
20/09/2025,Static Palm,United Kingdom,United Kingdom,Moth Club,51.54560,-0.04440,162,,
19/08/2025,Horror Vacui,Italy,United Kingdom,Helgi's,51.54460,-0.05540,58124,,
19/08/2025,Solus,United Kingdom,United Kingdom,Helgi's,51.54460,-0.05540,68,,
19/07/2025,Manowar,United States,United Kingdom,O2 Academy Brixton,51.46510,-0.11490,914770,,
18/07/2025,Judas Priest,United Kingdom,United Kingdom,The O2,51.50290,0.00320,4415627,,
17/07/2025,Overthrust,Botswana,United Kingdom,Club Cheek,51.46340,-0.10730,1852,,
17/07/2025,Iggor Cavalera,Brazil,United Kingdom,Club Cheek,51.46340,-0.10730,3724,,
17/07/2025,W.H.Y.,United Kingdom,United Kingdom,Club Cheek,51.46340,-0.10730,29,,
05/07/2025,Black Sabbath,United Kingdom,United Kingdom,Villa Park,52.50917,-1.88472,17920132,,
05/07/2025,Ozzy Osborne,United Kingdom,United Kingdom,Villa Park,52.50917,-1.88472,14957466,,
05/07/2025,Gojira,France,United Kingdom,Villa Park,52.50917,-1.88472,2175770,,
05/07/2025,Pantera,United States,United Kingdom,Villa Park,52.50917,-1.88472,8060310,,
05/07/2025,Tool,United States,United Kingdom,Villa Park,52.50917,-1.88472,7761823,,
05/07/2025,Slayer,United States,United Kingdom,Villa Park,52.50917,-1.88472,3215443,,
05/07/2025,Guns N' Roses,United States,United Kingdom,Villa Park,52.50917,-1.88472,35638459,,
05/07/2025,Metallica,United States,United Kingdom,Villa Park,52.50917,-1.88472,31355778,,
19/06/2025,Nine Inch Nails,United States,United Kingdom,The O2,51.50290,0.00320,7093849,,
06/06/2025,Finntroll,Finland,Germany,Heidnisches Dorf,51.30000,12.38000,101367,,
07/06/2025,In The Woods,Norway,Germany,Stadtbad,51.35000,12.37000,13951,,
07/06/2025,Midas Fall,United Kingdom,Germany,Stadtbad,51.35000,12.37000,1351,,
07/06/2025,Stahlmann,Germany,Germany,Heidnisches Dorf,51.30000,12.38000,66677,,
08/06/2025,Plastique Noir,Brazil,Germany,Volkspalast Kuppelhalle,51.31599,12.40005,44454,,
08/06/2025,Silke Bischoff,Germany,Germany,Agra,51.30000,12.38000,,,
06/06/2025,Skynd,Australia,Germany,Agra,51.30000,12.38000,110939,,
06/06/2025,Coppelius,Germany,Germany,Heidnisches Dorf,51.30000,12.38000,13137,,
08/06/2025,Witt,Germany,Germany,Agra,51.30000,12.38000,625359,,
08/06/2025,Drab Majesty,United States,Germany,Agra,51.30000,12.38000,156679,,
08/06/2025,Xandria,Germany,Germany,Agra,51.30000,12.38000,142899,,
06/05/2025,Viagra Boys,Sweden,United Kingdom,O2 Academy Brixton,51.46510,-0.11490,976314,,
21/03/2025,Ryoji Ikeda,Japan,United Kingdom,Here at Outernet,51.51500,-0.12800,16405,,