date,band,origin,saw-it,location,spotify,lat,lon,link,happiness,style
23/11/2025,Delilah Bon,United Kingdom,United Kingdom,O2 Academy Islington,219787,55.000000,-3.000000,https://www.delilahbon.co.uk/,5,
23/11/2025,Crae Wolf,United Kingdom,United Kingdom,O2 Academy Islington,29732,55.000000,-3.000000,https://www.instagram.com/craewolff/,8,
21/11/2025,Radiohead,United Kingdom,United Kingdom,The O2,45043286,55.000000,-3.000000,https://radiohead.com/,3,
15/11/2025,Saxon,United Kingdom,United Kingdom,Hammersmith Apollo,416598,55.000000,-3.000000,https://www.saxon747.com/,6.8,
15/11/2025,Udo Dirkschneider,Germany,United Kingdom,Hammersmith Apollo,14144,51.000000,10.000000,https://www.udo-online.com/,7,
08/11/2025,Oryx,United States,United Kingdom,The Black Heart,1711,39.800000,-98.600000,https://oryx.bandcamp.com/,1.4,
08/11/2025,Poseidon,United Kingdom,United Kingdom,The Black Heart,49,55.000000,-3.000000,https://poseidondoomband.bandcamp.com/,4.4,
08/11/2025,Boa resa,United Kingdom,United Kingdom,The Black Heart,23,55.000000,-3.000000,https://boaresa.bandcamp.com/,6.2,
07/11/2025,Perturbator,France,United Kingdom,O2 Forum Kentish Town,772011,46.000000,2.000000,https://perturbator.com/,3.4,
07/11/2025,Kælan Mikla,Iceland,United Kingdom,O2 Forum Kentish Town,40819,65.000000,-18.000000,https://www.kaelanmikla.com/,4.2,
07/11/2025,Gost,United States,United Kingdom,O2 Forum Kentish Town,137188,39.800000,-98.600000,https://gost.live/,3.8,
17/10/2025,Paradise Lost,United Kingdom,United Kingdom,Islington Assembly Hall,502963,55.000000,-3.000000,https://paradiselost.co.uk/,3.4,
17/10/2025,Messa,Italy,United Kingdom,Islington Assembly Hall,45913,42.800000,12.800000,https://messa.bandcamp.com/,4.8,
20/09/2025,Night In Athens,Greece,United Kingdom,Moth Club,107282,39.000000,22.000000,https://www.instagram.com/night_in_athens/,5.2,
20/09/2025,Static Palm,United Kingdom,United Kingdom,Moth Club,162,55.000000,-3.000000,https://staticpalm.bandcamp.com/,7.2,
19/08/2025,Horror Vacui,Italy,United Kingdom,Helgi's,58124,42.800000,12.800000,https://horrorvacuilegion.bandcamp.com/,4.4,
19/08/2025,Solus,United Kingdom,United Kingdom,Helgi's,68,55.000000,-3.000000,https://nickhydra.bandcamp.com/album/demo-i-2022,4.2,
19/07/2025,Manowar,United States,United Kingdom,O2 Academy Brixton,914770,39.800000,-98.600000,https://manowar.com/,6.6,
18/07/2025,Judas Priest,United Kingdom,United Kingdom,The O2,4415627,55.000000,-3.000000,https://judaspriest.com/,6.2,
17/07/2025,Overthrust,Botswana,United Kingdom,Club Cheek,1852,-22.000000,24.000000,https://overthrust3.bandcamp.com/,4,
17/07/2025,Iggor Cavalera,Brazil,United Kingdom,Club Cheek,3724,-10.000000,-55.000000,https://iggorcavalera.bandcamp.com/,3.8,
17/07/2025,W.H.Y.,United Kingdom,United Kingdom,Club Cheek,29,55.000000,-3.000000,https://whyband.bandcamp.com/,4.4,
05/07/2025,Black Sabbath,United Kingdom,United Kingdom,Villa Park,17920132,55.000000,-3.000000,https://www.blacksabbath.com/,4.4,
05/07/2025,Ozzy Osborne,United Kingdom,United Kingdom,Villa Park,14957466,55.000000,-3.000000,https://www.ozzy.com/,5.4,
05/07/2025,Gojira,France,United Kingdom,Villa Park,2175770,46.000000,2.000000,https://www.gojira-music.com/,3.2,
05/07/2025,Pantera,United States,United Kingdom,Villa Park,8060310,39.800000,-98.600000,https://www.pantera.com/,4,
05/07/2025,Tool,United States,United Kingdom,Villa Park,7761823,39.800000,-98.600000,https://toolband.com/,4.4,
05/07/2025,Slayer,United States,United Kingdom,Villa Park,3215443,39.800000,-98.600000,https://www.slayer.net/,4,
05/07/2025,Guns N' Roses,United States,United Kingdom,Villa Park,35638459,39.800000,-98.600000,https://www.gunsnroses.com/,5.8,
05/07/2025,Metallica,United States,United Kingdom,Villa Park,31355778,39.800000,-98.600000,https://www.metallica.com/,4.4,
19/06/2025,Nine Inch Nails,United States,United Kingdom,The O2,7093849,39.800000,-98.600000,https://www.nin.com/,1.4,
06/06/2025,Finntroll,Finland,Germany,Heidnisches Dorf,101367,64.000000,26.000000,https://www.trollhorde.com/,7.4,
07/06/2025,In The Woods,Norway,Germany,Stadtbad,13951,61.000000,8.000000,https://in-the-woods.bandcamp.com/,4.2,
07/06/2025,Midas Fall,United Kingdom,Germany,Stadtbad,1351,55.000000,-3.000000,https://midasfall.com/home,4.2,
07/06/2025,Stahlmann,Germany,Germany,Heidnisches Dorf,66677,51.000000,10.000000,https://www.stahlmann-band.de/,4,
08/06/2025,Plastique Noir,Brazil,Germany,Volkspalast Kuppelhalle,44454,-10.000000,-55.000000,https://plastiquenoir.bandcamp.com/,4.8,
08/06/2025,Silke Bischoff,Germany,Germany,Agra,1,51.000000,10.000000,https://www.last.fm/music/Silke+Bischoff,4.8,
06/06/2025,Skynd,Australia,Germany,Agra,110939,-25.000000,133.000000,https://skynd-music.com/,4,
06/06/2025,Coppelius,Germany,Germany,Heidnisches Dorf,13137,51.000000,10.000000,http://coppelius.eu/,7.6,
08/06/2025,Witt,Germany,Germany,Agra,625359,51.000000,10.000000,https://www.joachimwitt.de/,5,
08/06/2025,Drab Majesty,United States,Germany,Agra,156679,39.800000,-98.600000,https://drabmajesty.bandcamp.com/,5.8,
08/06/2025,Xandria,Germany,Germany,Agra,142899,51.000000,10.000000,https://www.xandria.de/,6.2,
06/05/2025,Viagra Boys,Sweden,United Kingdom,O2 Academy Brixton,976314,63.000000,16.000000,https://www.vboysstockholm.com/,6.2,
21/03/2025,Ryoji Ikeda,Japan,United Kingdom,Here at Outernet,16405,36.000000,138.000000,https://www.ryojiikeda.com/,10,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Saxon,2,4,6.8,,,,,,,
Udo Dirkschneider,1,5,7,,,,,,,
Oryx,7,8,1.4,,,,,,,
Poseidon,6,4,4.4,,,,,,,
Boa Ressa,4,3,6.2,,,,,,,
Perturbator,5,6,3.4,,,,,,,
Kælan Mikla,8,3,4.2,,,,,,,
Gost,3,7,3.8,,,,,,,
Paradise Lost,9,4,3.4,,,,,,,
Messa,7,3,4.8,,,,,,,
Night In Athens,7,2,5.2,,,,,,,
Static Palm,3,2,7.2,,,,,,,
Horror Vacui,7,4,4.4,,,,,,,
Solus,8,3,4.2,,,,,,,
Manowar,1,6,6.6,,,,,,,
Judas Priest,2,6,6.2,,,,,,,
Overthrust,5,6,4,,,,,,,
Iggor Cavalera,3,7,3.8,,,,,,,
W.H.Y.,6,4,4.4,,,,,,,
Black Sabbath,7,4,4.4,,,,,,,
Ozzy Osbourne,4,5,5.4,,,,,,,
Gojira,5,7,3.2,,,,,,,
Pantera,2,9,4,,,,,,,
Tool,6,4,4.4,,,,,,,
Slayer,1,10,4,,,,,,,
Guns N' Roses,3,5,5.8,,,,,,,
Metallica,4,7,4.4,,,,,,,
Nine Inch Nails,9,8,1.4,,,,,,,
Finntroll,1,4,7.4,,,,,,,
In the Woods...,8,3,4.2,,,,,,,
Midas Fall,9,2,4.2,,,,,,,
Stahlmann,5,5,4,,,,,,,
Plastique Noir,7,3,4.8,,,,,,,
Silke Bischoff,8,2,4.8,,,,,,,
Skynd,8,4,4,,,,,,,
Coppelius,2,2,7.6,,,,,,,
Witt,6,3,5,,,,,,,
Drab Majesty,6,2,5.8,,,,,,,
Xandria,5,3,6.2,,,,,,,
Viagra Boys,3,4,6.2,,,,,,,
Ryoji Ikeda,0,0,10,,,,,,,